period_start,period,purchase_bid,sell_bid,mcv,mcp,final_scheduled_volume
2026-02-04 06:00:00,06:00 - 06:15,14945.2,18256.2,7774.0,3499.96,7774.0
2026-02-04 06:15:00,06:15 - 06:30,16421.2,16313.1,8524.8,3750.8,8524.8
2026-02-04 06:30:00,06:30 - 06:45,17439.2,14863.4,8994.3,3999.7,8994.3
2026-02-04 06:45:00,06:45 - 07:00,18386.5,15561.9,9192.4,4000.98,9192.4
2026-02-04 07:00:00,07:00 - 07:15,20552.6,14868.2,10531.5,5000.58,10531.5
2026-02-04 07:15:00,07:15 - 07:30,21934.2,14278.6,11229.4,6499.95,11229.4
2026-02-04 07:30:00,07:30 - 07:45,23944.4,14275.7,11466.7,8400.09,11466.7
2026-02-04 07:45:00,07:45 - 08:00,24624.4,14101.4,11287.4,8400.35,11287.4
2026-02-04 08:00:00,08:00 - 08:15,23732.2,14943.0,11698.8,6500.08,11698.8
2026-02-04 08:15:00,08:15 - 08:30,23100.6,16071.2,12089.4,5000.42,12089.4
2026-02-04 08:30:00,08:30 - 08:45,22598.7,17676.8,12407.27,4232.64,12407.27
2026-02-04 08:45:00,08:45 - 09:00,22362.6,18714.3,12400.14,3940.62,12400.14
2026-02-04 09:00:00,09:00 - 09:15,23551.3,19793.3,13027.28,3940.88,13027.28
2026-02-04 09:15:00,09:15 - 09:30,22955.7,20527.2,12711.2,3840.95,12711.2
2026-02-04 09:30:00,09:30 - 09:45,22045.8,22620.2,13780.1,3750.21,13780.1
2026-02-04 09:45:00,09:45 - 10:00,21141.1,22654.6,12880.6,3560.31,12880.6
2026-02-04 10:00:00,10:00 - 10:15,19987.0,24487.6,10972.82,3120.82,10972.82
2026-02-04 10:15:00,10:15 - 10:30,19462.1,24980.1,10690.6,2930.89,10690.6
2026-02-04 10:30:00,10:30 - 10:45,18279.1,27283.8,11518.65,2890.1,11518.65
2026-02-04 10:45:00,10:45 - 11:00,16572.5,27330.1,9638.73,2840.54,9638.73
2026-02-04 11:00:00,11:00 - 11:15,16891.8,29705.4,10008.75,2790.35,10008.75
2026-02-04 11:15:00,11:15 - 11:30,16909.8,31056.7,10291.04,2800.49,10291.04
2026-02-04 11:30:00,11:30 - 11:45,16528.9,33611.2,10257.46,2690.05,10257.46
